Subfamily;Tribe;Genus;Species;FWL;FWW;HWL;HWW;TL;TW;AL;AW;BL;FA;AR;FHR;WTR;Obs;Source;Subspecies
Satyrinae;Satyrini;Caeruleuptychia;Caeruleuptychia_helena;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Capronnieria;Capronnieria_abretia;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Charaxinae;Anaeini;Fountainea;Fountainea_ryphea;2.73;2.06;2.05;2.02;0.95;0.4;0.8;0.28;1.73;5.624;2.6505;1.332;49.032;Macho;BoA;
Charaxinae;Anaeini;Consul;Consul_fabius;3.88;2.32;2.14;2.48;NA;NA;NA;0.3;1.73;9.002;3.3448;1.813;NA;Macho;BoA;castaneus
Satyrinae;Brassolini;Narope;Narope_cyllarus;2.82;1.99;2.44;2.13;0.59;0.41;1.17;0.38;1.74;5.612;2.8342;1.156;80.182;Fêmea;BoA;
Satyrinae;Satyrini;Pseudodebis;Pseudodebis_euptychidia;3.02;2.01;2.59;2.21;0.57;0.36;1.11;0.14;1.74;6.07;3.005;1.166;123.462;;LABOR;
Charaxinae;Anaeini;Memphis;Memphis_leonida;2.73;2.22;2.28;2.24;0.88;0.41;0.86;0.2;1.75;6.061;2.4595;1.197;50.382;Macho;BoA;
Charaxinae;Anaeini;Hypna;Hypna_clytemnestra;3.46;2.76;2.76;2.52;0.9;0.34;0.86;0.29;1.75;9.55;2.5072;1.254;115.067;Macho;BoA;corumbaensis
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;3.701;2.215;2.604;2.383;0.857;0.467;0.895;0.226;1.753;8.198;3.3418;1.421;73.286;;Aline_Zeiss;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;3.31;2.15;3.01;2.38;0.63;0.33;1.09;0.15;1.76;7.117;3.0791;1.1;159.694;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_drogoni;3.36;2.21;3.18;2.52;0.59;0.31;1.19;0.19;1.76;7.426;3.0407;1.057;199.115;;LABOR;
Biblidinae;Callicorini;Callicore;Callicore_sorana;2.72;1.7;2.25;1.83;0.61;0.3;1.13;0.33;1.77;4.624;3.2;1.209;134.761;;LABOR;
Charaxinae;Anaeini;Zaretis;Zaretis_ellops;2.86;2.2;2.04;1.93;1.05;0.41;0.74;0.21;1.77;6.292;2.6;1.402;46.342;Macho;NMNH;
Satyrinae;Satyrini;Posttaygetis;Posttaygetis_penelea;3.21;2.04;2.7;2.3;0.59;0.35;1.14;0.13;1.77;6.548;3.1471;1.189;142.568;;LABOR;
Biblidinae;Catonephelini;Cybdelis;Cybdelis_phaesyla;2.45;1.54;1.88;1.82;0.7;0.33;1.02;0.13;1.78;3.773;3.1818;1.303;78.742;;LABOR;
Charaxinae;Anaeini;Memphis;Memphis_basilia;2.6;2.12;1.91;1.97;1.05;0.37;0.75;0.19;1.78;5.512;2.4528;1.361;47.028;Macho;BoA;
Satyrinae;Satyrini;Amphidecta;Amphidecta_calliomma;3.34;1.96;2.91;2.21;0.57;0.37;1.13;0.12;1.78;6.546;3.4082;1.148;142.96;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_helenor;5.74;3.65;4.47;4.03;0.69;0.4;1.13;0.34;1.78;20.951;3.1452;1.284;298.438;Sexo não identificado;BoA;pindarus
Biblidinae;Callicorini;Catagramma;Catagramma_pygas;2.33;1.46;1.78;1.57;0.84;0.39;0.97;0.16;1.79;3.402;3.1918;1.309;42.492;;LABOR;
Biblidinae;Callicorini;Callicore;Callicore_cynosura;2.87;1.79;2.12;1.81;0.72;0.38;1.05;0.14;1.79;5.137;3.2067;1.354;79.225;Macho;Butterflies of America;amazona
Biblidinae;Ageroniini;Hamadryas;Hamadryas_chloe;2.95;1.84;2.37;1.98;0.72;0.31;1.09;0.17;1.79;5.428;3.2065;1.245;125.773;;LABOR;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_iphthime;3.5;2.1;2.5;2.2;0.82;0.32;0.98;0.18;1.79;7.35;3.3333;1.4;145.889;;LABOR;
Charaxinae;Anaeini;Fountainea;Fountainea_glycerium;3.21;2.3;2.4;2.23;0.93;0.38;0.84;0.28;1.79;7.383;2.7913;1.338;76.729;Macho;NMNH;
Charaxinae;Anaeini;Memphis;Memphis_moruus;3.195;2.507;2.33;2.338;0.912;0.385;0.793;0.192;1.791;8.01;2.5489;1.371;75.514;;;
Biblidinae;Callicorini;Catagramma;Catagramma_pygas;2.54;1.4;1.97;1.58;0.74;0.33;1;0.24;1.8;3.556;3.6286;1.289;80.059;;LABOR;
Charaxinae;Anaeini;Hypna;Hypna_clytemnestra;3.6;2.57;2.76;2.58;0.65;0.36;1.17;0.2;1.8;9.252;2.8016;1.304;153.846;Macho;BoA;huebneri
Biblidinae;Catonephelini;Eunica;Eunica_sydonia;3.52;2.01;2.49;2.21;0.7;0.32;1.11;0.18;1.81;7.075;3.5025;1.414;172.857;;LABOR;
Biblidinae;Catonephelini;Sea;Sea_sophronia;2.69;1.54;2.08;1.81;0.74;0.36;1.03;0.2;1.82;4.143;3.4935;1.293;75.451;;LABOR;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_februa;3.63;2.2;2.78;2.47;0.75;0.35;1.07;0.16;1.82;7.986;3.3;1.306;143.422;;LABOR;
Satyrinae;Satyrini;Amphidecta;Amphidecta_reynoldsi;2.94;1.79;2.49;2.03;0.62;0.31;1.14;0.16;1.83;5.263;3.2849;1.181;145.071;;LABOR;
Biblidinae;Catonephelini;Eunica;Eunica_volumna;3.34;1.91;2.41;2.13;0.74;0.39;1.08;0.12;1.83;6.379;3.4974;1.386;99.113;Macho;BoA;celma
Charaxinae;Anaeini;Memphis;Memphis_moruus;2.79;2.31;2.2;2.23;0.98;0.38;0.87;0.33;1.83;6.445;2.4156;1.268;55.007;Sexo não identificado;BoA;stheno
Satyrinae;Satyrini;Taygetis;Taygetis_rectifascia;3.39;2.25;3.08;2.48;0.58;0.32;1.17;0.15;1.83;7.628;3.0133;1.101;193.496;;LABOR;
Biblidinae;Catonephelini;Eunica;Eunica_eurota;3.13;2.06;2.44;2.35;0.79;0.4;1.1;0.14;1.84;6.448;3.0388;1.283;77.507;;LABOR;
Charaxinae;Anaeini;Memphis;Memphis_appias;3.17;2.16;2.32;2.12;0.85;0.47;0.99;0.28;1.84;6.847;2.9352;1.366;53.518;;FMNH;
Charaxinae;Anaeini;Memphis;Memphis_polyxo;3.13;2.47;2.34;2.46;0.96;0.5;0.9;0.31;1.84;7.731;2.5344;1.338;40.82;Sexo não identificado;BoA;
Satyrinae;Satyrini;Pseudodebis;Pseudodebis_valentina;3.11;1.75;2.47;2.01;0.55;0.33;1.35;0.2;1.85;5.443;3.5543;1.259;161.484;Macho;BoA;
Satyrinae;Morphini;Morpho;Morpho_helenor;5.85;3.81;4.46;4.16;NA;NA;NA;NA;1.86;22.289;3.0709;1.312;NA;Sexo não identificado;BoA;anakreon
Biblidinae;Epiphilini;Epiphile;Epiphile_orea;2.58;1.65;1.95;1.88;0.89;0.36;1;0.14;1.87;4.257;3.1273;1.323;57.709;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_rectifascia;3.34;2.25;2.98;2.43;0.64;0.33;1.19;0.15;1.87;7.515;2.9689;1.121;160.061;;LABOR;
Biblidinae;Epiphilini;Pyrrhogyra;Pyrrhogyra_neaerea;3.54;2.29;2.86;2.28;0.8;0.36;1.09;0.17;1.87;8.107;3.0917;1.238;120.868;;LABOR;
Charaxinae;Anaeini;Zaretis;Zaretis_itys;3.3;2.51;2.28;2.25;0.93;0.44;0.95;0.31;1.87;8.283;2.6295;1.447;60.484;;FMNH;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_chloe;2.9;1.76;2.35;1.98;0.75;0.35;1.07;0.17;1.88;5.104;3.2955;1.234;91.537;;LABOR;
Biblidinae;Biblidini;Biblis;Biblis_hyperia;3.03;1.99;2.07;2.2;0.63;0.37;1.37;0.19;1.88;6.03;3.0452;1.464;106.449;;LABOR;
Biblidinae;Catonephelini;Eunica;Eunica_volumna;3.27;1.91;2.36;2.21;NA;NA;NA;NA;1.9;6.246;3.4241;1.386;NA;Sexo não identificado;BoA;
Satyrinae;Satyrini;Taygetis;Taygetis_rectifascia;3.19;2.18;3;2.47;0.58;0.28;1.29;0.09;1.9;6.954;2.9266;1.063;223.788;;LABOR;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_februa;3.28;1.93;2.49;2.16;0.63;0.39;1.22;0.2;1.91;6.33;3.399;1.317;112.274;;LABOR;
Biblidinae;Epiphilini;Pyrrhogyra;Pyrrhogyra_neaerea;3.57;2.28;2.83;2.28;0.92;0.5;1.06;0.19;1.91;8.14;3.1316;1.261;55.413;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_helenor;6.25;4.01;4.86;4.57;0.92;0.44;1.03;0.28;1.91;25.063;3.1172;1.286;219.314;Sexo não identificado;BoA;violaceus
Charaxinae;Anaeini;Memphis;Memphis_philumena;3.68;2.96;3.16;2.97;NA;NA;NA;NA;1.92;10.893;2.4865;1.165;NA;Sexo não identificado;BoA;corita
Satyrinae;Morphini;Morpho;Morpho_helenor;5.82;3.63;4.4;4.13;1.02;NA;0.92;0.26;1.92;21.127;3.2066;1.323;NA;Sexo não identificado;BoA;achillides
Satyrinae;Morphini;Morpho;Morpho_epistrophus;6.239;3.753;4.906;4.293;0.779;0.386;1.081;0.215;1.927;23.415;3.3248;1.272;335.365;;Aline_Zeiss;
Biblidinae;Catonephelini;Eunica;Eunica_bechina;2.82;1.77;2.42;2.02;0.88;0.4;1.02;0.18;1.93;4.991;3.1864;1.165;56.48;;LABOR;
Biblidinae;Catonephelini;Catonephele;Catonephele_sabrina;3.03;1.77;2.28;2.02;0.76;0.44;1.13;0.13;1.94;5.363;3.4237;1.329;62.397;;LABOR;
Charaxinae;Anaeini;Zaretis;Zaretis_isidora;3.7;2.68;2.33;2.34;1.02;0.39;0.93;0.22;1.94;9.916;2.7612;1.588;88.242;;FMNH;
Biblidinae;Callicorini;Catagramma;Catagramma_pygas;2.44;1.49;1.83;1.6;0.8;0.41;1.16;0.21;1.95;3.636;3.2752;1.333;44.271;;LABOR;
Biblidinae;Catonephelini;Eunica;Eunica_malvina;3.07;1.88;2.3;2.17;0.89;0.43;1.05;0.18;1.95;5.772;3.266;1.335;57.273;;LABOR;
Biblidinae;Catonephelini;Eunica;Eunica_volumna;3.41;1.92;2.34;2.24;0.82;0.28;1.14;0.15;1.95;6.547;3.5521;1.457;180.875;Sexo não identificado;BoA;celma
Biblidinae;Catonephelini;Eunica;Eunica_bechina;2.93;1.78;2.34;2.03;0.83;0.37;1.13;0.22;1.96;5.215;3.2921;1.252;75.553;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_rufomarginata;3.45;2.08;2.89;2.39;0.71;0.36;1.24;0.15;1.96;7.176;3.3173;1.194;129.353;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_virgilia;3.48;2.28;3.12;2.5;0.64;0.45;1.31;0.21;1.96;7.934;3.0526;1.115;93.444;;LABOR;
Charaxinae;Anaeini;Memphis;Memphis_philumena;3.39;2.85;2.9;2.65;NA;NA;NA;NA;1.96;9.662;2.3789;1.169;NA;Sexo não identificado;BoA;corita
Charaxinae;Anaeini;Polygrapha;Polygrapha_suprema;4;2.54;2.47;2.59;NA;NA;NA;0.3;1.96;10.16;3.1496;1.619;NA;Macho;BoA;
Charaxinae;Anaeini;Zaretis;Zaretis_itys;3.28;2.53;2.33;2.09;0.94;0.28;1.05;0.22;1.97;8.298;2.5929;1.408;145.983;;;
Charaxinae;Anaeini;Zaretis;Zaretis_isidora;3.15;2.38;2.13;2.01;0.97;0.38;1.02;0.14;1.98;7.497;2.6471;1.479;70.841;;FMNH;
Satyrinae;Brassolini;Narope;Narope_panniculus;3.63;2.38;2.71;2.59;0.63;0.35;1.35;0.32;1.98;8.639;3.0504;1.339;170.741;Sexo não identificado;BoA;
Satyrinae;Morphini;Morpho;Morpho_helenor;6.28;4.03;4.8;4.41;0.92;0.32;1.11;0.35;1.98;25.308;3.1166;1.308;418.631;Sexo não identificado;BoA;theodorus
Satyrinae;Morphini;Morpho;Morpho_helenor;6.7;4.42;5.53;4.64;NA;NA;NA;NA;1.98;29.614;3.0317;1.212;NA;Macho;BoA;marajoensis
Satyrinae;Morphini;Morpho;Morpho_epistrophus;6.259;3.615;4.729;4.183;0.783;0.405;1.153;0.269;1.988;22.626;3.4628;1.324;305.027;;Aline_Zeiss;
Satyrinae;Satyrini;Taygetis;Taygetis_rufomarginata;3.53;2.26;3.04;2.59;0.71;0.38;1.31;0.17;1.99;7.978;3.1239;1.161;121.541;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_helenor;5.65;3.49;4.48;3.87;NA;NA;NA;0.29;1.99;19.719;3.2378;1.261;NA;Sexo não identificado;BoA;coelestis
Satyrinae;Satyrini;Taygetis;Taygetis_sylvia;3.28;1.89;2.79;2.21;0.59;0.3;1.37;0.17;2;6.199;3.4709;1.176;202.606;;LABOR;
Charaxinae;Anaeini;Memphis;Memphis_appias;3.49;2.46;2.56;2.34;0.97;0.44;1.02;0.29;2;8.585;2.8374;1.363;64.86;;FMNH;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_februa;3.61;2.15;2.63;;0.78;0.45;1.24;0.22;2.01;7.762;3.3581;1.373;82.508;;LABOR;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_epinome;3.69;2.23;2.43;2.36;0.9;0.38;1.1;0.17;2.01;8.229;3.3094;1.519;104.771;;LABOR;
Biblidinae;Biblidini;Mestra;Mestra_dorcas;3.18;1.74;2.08;2.09;0.53;0.3;1.49;0.11;2.02;5.533;3.6552;1.529;212;;FMNH;
Biblidinae;Catonephelini;Catonephele;Catonephele_acontius;3;2.25;2.34;2.02;0.83;0.43;1.16;0.18;2.03;6.75;2.6667;1.282;58.645;;LABOR;
Satyrinae;Satyrini;Amphidecta;Amphidecta_pignerator;3.48;1.98;2.92;2.22;0.77;0.3;1.27;0.13;2.04;6.89;3.5152;1.192;174.753;;LABOR;
Charaxinae;Anaeini;Memphis;Memphis_polyxo;3.37;2.65;2.65;2.7;1.02;0.42;1.02;0.21;2.04;8.931;2.5434;1.272;63.119;Macho;BoA;
Satyrinae;Brassolini;Eryphanis;Eryphanis_reevesii;4.68;3.12;4.43;3.74;0.79;0.54;1.28;0.28;2.05;14.602;3;1.056;95.077;;LABOR;
Biblidinae;Catonephelini;Eunica;Eunica_caelina;3.12;1.89;2.37;2.33;NA;NA;NA;NA;2.06;5.897;3.3016;1.316;NA;Macho;BoA;
Biblidinae;Catonephelini;Catonephele;Catonephele_acontius;3.22;2.23;2.27;2.09;0.75;0.36;1.33;0.16;2.06;7.181;2.8879;1.419;106.671;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_epistrophus;6.587;3.932;5.095;4.244;0.807;0.382;1.188;0.276;2.064;25.9;3.3505;1.293;368.447;;Aline_Zeiss;
Charaxinae;Preponini;Prepona;Prepona_pylene;4.334;2.652;3.229;2.712;0.859;0.494;1.134;0.281;2.068;11.494;3.2685;1.342;89.605;;Aline_Zeiss;
Satyrinae;Satyrini;Pseudodebis;Pseudodebis_euptychidia;3.13;2;2.68;2.29;0.67;0.35;1.35;0.14;2.07;6.26;3.13;1.168;119.365;;LABOR;
Satyrinae;Satyrini;Pseudodebis;Pseudodebis_celia;3.35;2.09;3.01;2.38;0.6;0.39;1.4;0.16;2.07;7.002;3.2057;1.113;122.973;;LABOR;
Biblidinae;Catonephelini;Eunica;Eunica_sydonia;3.2;1.89;2.42;2.31;0.75;0.4;1.23;0.15;2.08;6.048;3.3862;1.322;85.333;;LABOR;
Biblidinae;Catonephelini;Catonephele;Catonephele_sabrina;3.34;1.96;2.41;2.21;0.89;0.4;1.24;0.19;2.08;6.546;3.4082;1.386;78.34;;LABOR;
Biblidinae;Callicorini;Callicore;Callicore_cynosura;3.17;2.08;2.36;2.14;0.78;0.32;1.26;0.22;2.08;6.594;3.0481;1.343;125.813;;YMNH;
Satyrinae;Brassolini;Opoptera;Opoptera_aorsa;4.01;2.64;3.73;3.15;0.83;0.46;1.24;0.31;2.08;10.586;3.0379;1.075;91.558;;LABOR;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;4.792;2.727;3.689;3.051;1.054;0.554;1.062;0.357;2.082;13.068;3.5145;1.299;70.986;;Aline_Zeiss;
Satyrinae;Brassolini;Opoptera;Opoptera_fruhstorferi;3.96;2.51;3.59;2.64;0.65;NA;1.45;0.29;2.09;9.94;3.1554;1.103;NA;Sexo não identificado;BoA;
Satyrinae;Satyrini;Pseudodebis;Pseudodebis_celia;3.26;2.07;2.91;2.28;0.69;0.33;1.42;0.16;2.12;6.748;3.1498;1.12;141.435;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_sosis;3.36;2.2;2.9;2.42;0.7;0.35;1.37;0.15;2.12;7.392;3.0545;1.159;131.657;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_sosis;3.51;2.09;3.07;2.5;0.68;0.34;1.4;0.14;2.13;7.336;3.3589;1.143;156.728;;LABOR;
Nymphalinae;Coeini;Historis;Historis_acheronta;3.8;2.42;2.41;2.61;0.8;0.48;1.32;0.33;2.13;9.196;3.1405;1.577;78.342;Sexo não identificado;BoA;
Satyrinae;Morphini;Morpho;Morpho_menelaus;6.61;4.19;5.07;4.57;NA;NA;NA;NA;2.13;27.696;3.1551;1.304;NA;Sexo não identificado;BoA;terrestris
Satyrinae;Brassolini;Blepolenis;Blepolenis_bassus;4.28;2.9;3.57;2.83;0.76;0.39;1.38;0.23;2.14;12.412;2.9517;1.199;158.469;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_pylene;4.834;2.95;3.547;3.04;0.91;0.464;1.129;0.238;2.151;14.26;3.2773;1.363;119.271;;Aline_Zeiss;
Biblidinae;Catonephelini;Catonephele;Catonephele_numilia;3.24;2.09;2.39;2.41;0.94;0.52;1.29;0.22;2.16;6.772;3.1005;1.356;41.301;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_echo;3.34;2.18;3.05;2.45;0.64;0.37;1.43;0.14;2.16;7.281;3.0642;1.095;127.324;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_telemachus;8.17;4.73;5.82;5.19;0.92;0.29;1.26;0.35;2.16;38.644;3.4545;1.404;862.701;;FMNH;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_iphthime;3.42;2.07;2.46;2.21;0.82;0.41;1.32;0.18;2.17;7.079;3.3043;1.39;84.854;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_amydon;3.79;2.43;2.42;2.4;NA;NA;NA;0.28;2.17;9.21;3.1193;1.566;NA;Sexo não identificado;BoA;uniformis
Biblidinae;Catonephelini;Catonephele;Catonephele_sabrina;3.27;2.02;2.48;2.31;0.89;0.45;1.23;0.29;2.18;6.605;3.2376;1.319;59.331;;LABOR;
Biblidinae;Catonephelini;Catonephele;Catonephele_acontius;3.11;2.28;2.17;1.98;0.92;0.48;1.33;0.2;2.18;7.091;2.7281;1.433;45.63;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_ypthima;3.46;2.27;3.18;2.58;0.67;0.46;1.48;0.2;2.18;7.854;3.0485;1.088;84.443;;LABOR;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_feronia;3.95;2.39;2.95;2.77;0.97;0.51;1.15;0.25;2.18;9.441;3.3054;1.339;61.842;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_thamyra;3.78;2.59;3.55;2.79;0.76;0.34;1.42;0.26;2.18;9.79;2.9189;1.065;162.634;Macho;BoA;
Satyrinae;Brassolini;Opoptera;Opoptera_sulcius;4.13;2.8;3.77;3.1;0.87;0.34;1.32;0.32;2.18;11.564;2.95;1.095;169.599;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_deidamia;6.64;4.19;4.95;4.43;NA;NA;NA;NA;2.18;27.822;3.1695;1.341;NA;Macho;BoA;diffusa
Satyrinae;Satyrini;Taygetis;Taygetis_echo;3.27;2.13;2.95;2.4;0.67;0.42;1.47;0.17;2.19;6.965;3.0704;1.108;90.474;;LABOR;
Biblidinae;Catonephelini;Eunica;Eunica_sydonia;3.62;2.19;2.64;2.42;0.84;0.45;1.36;0.19;2.2;7.928;3.3059;1.371;77.039;;LABOR;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_iphthime;3.59;2.25;2.56;2.37;0.82;0.35;1.34;0.16;2.2;8.078;3.1911;1.402;128.304;;LABOR;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_arete;3.74;2.37;2.41;2.53;0.94;0.44;1.23;0.18;2.2;8.864;3.1561;1.552;76.862;;LABOR;
Satyrinae;Brassolini;Opoptera;Opoptera_syme;3.95;2.72;3.42;3.1;0.89;0.37;1.26;0.21;2.2;10.744;2.9044;1.155;128.056;;LABOR;
Biblidinae;Catonephelini;Catonephele;Catonephele_numilia;3.43;2.16;2.62;2.69;0.85;0.48;1.36;0.2;2.21;7.409;3.1759;1.309;60.074;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_cleopatra;3.64;2.29;3;2.45;0.69;0.39;1.45;0.16;2.21;8.336;3.179;1.213;126.248;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_pylene;3.86;2.37;2.7;2.35;NA;NA;NA;0.24;2.21;9.148;3.2574;1.43;NA;Sexo não identificado;BoA;
Satyrinae;Satyrini;Taygetis;Taygetis_laches;3.99;2.65;3.62;2.89;0.64;0.36;1.55;0.15;2.21;10.574;3.0113;1.102;191.938;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_epistrophus;6.06;3.54;4.66;3.87;0.92;0.36;1.33;0.23;2.21;21.452;3.4237;1.3;308.001;Sexo não identificado;BoA;catenaria
Biblidinae;Catonephelini;Eunica;Eunica_bechina;3.26;2;2.6;2.12;0.89;0.37;1.34;0.25;2.22;6.52;3.26;1.254;87.225;;LABOR;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_epinome;3.32;2.12;2.54;2.31;0.81;0.43;1.37;0.25;2.22;7.038;3.1321;1.307;73.596;;LABOR;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_epinome;3.48;2.1;2.53;2.31;0.74;0.37;1.46;0.13;2.23;7.308;3.3143;1.375;119.543;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_acuta;3.81;2.38;3.12;2.71;0.75;0.52;1.47;0.18;2.23;9.068;3.2017;1.221;71.578;;LABOR;
Satyrinae;Brassolini;Opoptera;Opoptera_sulcius;4.42;2.94;3.89;3.22;0.75;0.41;1.47;0.25;2.23;12.995;3.0068;1.136;154.959;;LABOR;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;5.128;3.021;3.967;3.346;0.863;0.504;1.084;0.358;2.231;15.492;3.3949;1.293;119.957;;Aline_Zeiss;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_chalciope;4.632;2.813;3.318;3.024;1.022;0.5;1.096;0.357;2.233;13.03;3.2933;1.396;83.974;;Aline_Zeiss;
Charaxinae;Preponini;Prepona;Prepona_amydon;3.47;2.44;2.44;2.47;1.18;0.48;1.07;0.22;2.24;8.467;2.8443;1.422;44.289;Sexo não identificado;BoA;phalcidon
Satyrinae;Morphini;Morpho;Morpho_anaxibia;7.23;4.18;5.29;4.33;0.78;0.5;1.46;0.33;2.24;30.221;3.4593;1.367;268.066;Macho;BoA;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;4.328;2.689;2.951;2.808;1.1;0.556;1.147;0.533;2.248;11.638;3.219;1.467;55.085;;Aline_Zeiss;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_arete;3.89;2.4;2.59;2.7;0.85;0.41;1.37;0.31;2.25;9.336;3.2417;1.502;105.904;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_helenor;6.34;3.91;4.94;4.43;0.96;0.42;1.24;0.31;2.25;24.789;3.243;1.283;237.361;Sexo não identificado;BoA;achillides
Biblidinae;Ageroniini;Hamadryas;Hamadryas_fornax;3.42;2.01;2.45;2.31;1.04;0.43;1.21;0.21;2.26;6.874;3.403;1.396;60.825;;LABOR;
Biblidinae;Catonephelini;Catonephele;Catonephele_numilia;3.38;2.12;2.49;2.51;0.88;0.49;1.39;0.26;2.26;7.166;3.1887;1.357;54.07;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_helenor;6.64;4.39;5.38;4.57;0.94;NA;1.31;0.39;2.26;29.15;3.0251;1.234;NA;Sexo não identificado;BoA;theodorus
Nymphalinae;Nymphalini;Smyrna;Smyrna_blomfildia;4.115;2.553;3.104;2.853;1.05;0.523;1.185;0.302;2.266;10.506;3.2237;1.326;58.959;;Aline_Zeiss;
Charaxinae;Preponini;Prepona;Prepona_eugenes;4.19;2.53;2.62;2.54;NA;NA;NA;NA;2.27;10.601;3.3123;1.599;NA;Macho;BoA;
Satyrinae;Morphini;Morpho;Morpho_epistrophus;6.08;3.73;4.82;3.86;0.88;0.38;1.41;0.2;2.27;22.678;3.2601;1.261;290.909;Macho;BoA;catenaria
Charaxinae;Preponini;Prepona;Prepona_pylene;5.28;3.277;4.051;3.363;0.99;0.578;1.269;0.379;2.272;17.303;3.2225;1.303;84.29;;Aline_Zeiss;
Satyrinae;Brassolini;Caligo;Caligo_martia;5.49;3.781;5.052;4.185;1.019;0.65;1.179;0.309;2.274;20.758;2.904;1.087;70.007;;Aline_Zeiss;
Satyrinae;Brassolini;Caligo;Caligo_martia;5.804;4.009;5.352;4.312;0.979;0.513;1.269;0.253;2.278;23.268;2.8955;1.084;130.749;;Aline_Zeiss;
Satyrinae;Brassolini;Brassolis;Brassolis_sophorae;3.57;2.08;2.6;2.37;0.98;0.64;1.28;0.42;2.28;7.426;3.4327;1.373;31.75;;LABOR;
Charaxinae;Preponini;Archaeoprepona;Archaeoprepona_amphimachus;5.27;3.157;3.751;3.317;1.036;0.541;1.168;0.451;2.28;16.637;3.3386;1.405;91.594;;Aline_Zeiss;
Satyrinae;Brassolini;Dasyophthalma;Dasyophthalma_rusina;3.98;2.54;3.4;3.03;0.9;0.51;1.38;0.2;2.29;10.109;3.1339;1.171;67.668;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_amydon;3.68;2.43;2.5;2.44;1.3;0.5;1;0.38;2.3;8.942;3.0288;1.472;41.669;Macho;BoA;phalcidon
Biblidinae;Ageroniini;Hamadryas;Hamadryas_feronia;3.53;2.12;2.69;2.37;0.8;0.45;1.44;0.26;2.31;7.484;3.3302;1.312;76.919;;LABOR;
Satyrinae;Satyrini;Taygetis;Taygetis_laches;3.71;2.56;3.41;2.77;0.81;0.4;1.5;0.17;2.31;9.498;2.8984;1.088;106.204;;LABOR;
Charaxinae;Preponini;Prepona;Prepona_pylene;4.33;2.63;3;2.66;NA;NA;NA;0.23;2.31;11.388;3.2928;1.443;NA;Macho;BoA;
Satyrinae;Morphini;Morpho;Morpho_epistrophus;6.6;4.22;4.95;4.38;0.99;0.43;1.31;0.28;2.32;27.852;3.128;1.333;237.966;Sexo não identificado;BoA;
Biblidinae;Ageroniini;Hamadryas;Hamadryas_amphinome;3.75;2.14;2.46;2.41;1.03;0.5;1.28;0.28;2.34;8.025;3.5047;1.524;54.612;;LABOR;
Satyrinae;Morphini;Morpho;Morpho_telemachus;7.63;4.36;5.64;4.79;1.11;0.82;1.31;0.82;2.34;33.267;3.5;1.353;78.001;;BoA;
