Subfamily;Tribe;Genus;Species;FWL;FWW;HWL;HWW;TL;TW;AL;AW;BL;FA;AR;FHR;WTR;Obs;Source;Subspecies
Satyrinae;Satyrini;Caeruleuptychia;Caeruleuptychia_helena;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Satyrini;Capronnieria;Capronnieria_abretia;NA;NA;NA;NA;NA;NA;NA;NA;NA;#VALOR!;#VALOR!;#VALOR!;#VALOR!;;;
Satyrinae;Haeterini;Pierella;Pierella_lamia;3.66;1.78;2.86;2.12;NA;NA;NA;NA;1.52;6.515;4.1124;1.28;NA;Sexo não identificado;BoA;
Biblidinae;Catonephelini;Cybdelis;Cybdelis_phaesyla;2.16;1.39;1.66;1.57;0.64;0.31;0.85;0.13;1.53;3.002;3.1079;1.301;75.858;;LABOR;
Biblidinae;Epiphilini;Temenis;Temenis_laothoe;2.33;1.39;1.77;1.56;0.59;0.33;0.93;0.16;1.53;3.239;3.3525;1.316;84.495;;LABOR;
Biblidinae;Callicorini;Callicore;Callicore_texa;2.36;1.43;1.87;1.54;NA;NA;NA;NA;1.53;3.375;3.3007;1.262;NA;Macho;BoA;
Satyrinae;Satyrini;Forsterinaria;Forsterinaria_quantius;2.49;1.69;2.06;1.94;0.54;0.35;0.88;0.13;1.53;4.208;2.9467;1.209;93.728;;LABOR;
Satyrinae;Satyrini;Magneuptychia;Magneuptychia_ocypete;2.69;1.65;2.2;1.91;0.43;0.33;1.02;0.09;1.53;4.439;3.2606;1.223;154.528;;LABOR;
Biblidinae;Catonephelini;Eunica;Eunica_cuvierii;2.87;1.82;2.33;2.08;0.63;0.28;0.86;0.16;1.53;5.223;3.1538;1.232;166.766;;LABOR;
Charaxinae;Anaeini;Zaretis;Zaretis_isidora;2.77;2.02;1.9;1.79;0.76;0.37;0.78;0.19;1.53;5.595;2.7426;1.458;73.747;Macho;BoA;
Charaxinae;Anaeini;Memphis;Memphis_moruus;2.84;2.26;2.23;2.06;;0.36;NA;0.2;1.53;6.418;2.5133;1.274;NA;Sexo não identificado;BoA;morpheuus
Charaxinae;Anaeini;Memphis;Memphis_moruus;3.517;2.74;2.878;2.554;0.699;0.414;0.778;0.293;1.536;9.637;2.5672;1.222;103.244;;;
Biblidinae;Catonephelini;Eunica;Eunica_margarita;2.34;1.35;1.83;1.65;0.64;0.23;0.93;0.14;1.54;3.159;3.4667;1.279;161.732;;LABOR;
Biblidinae;Epiphilini;Epiphile;Epiphile_hubneri;2.45;1.57;1.96;1.85;0.73;0.25;0.76;0.18;1.54;3.847;3.121;1.25;131.562;;LABOR;
Charaxinae;Anaeini;Memphis;Memphis_otrere;2.7;2.03;2.06;1.96;NA;NA;NA;NA;1.54;5.481;2.6601;1.311;NA;Macho;BoA;
Satyrinae;Haeterini;Pierella;Pierella_lamia;3.56;1.79;2.92;2.08;0.59;0.31;0.94;0.23;1.54;6.372;3.9777;1.219;223.524;Sexo não identificado;BoA;
Satyrinae;Morphini;Morpho;Morpho_portis;4.515;2.779;3.603;3.047;0.568;0.3;0.975;0.258;1.553;12.547;3.2494;1.253;398.772;;Aline_Zeiss;
Biblidinae;Catonephelini;Myscelia;Myscelia_orsis;2.37;1.58;1.93;1.64;0.53;0.3;1;0.12;1.56;3.745;3;1.228;117.755;;LABOR;
Biblidinae;Epiphilini;Temenis;Temenis_huebneri;2.5;1.5;1.88;1.72;0.59;0.26;0.98;0.12;1.56;3.75;3.3333;1.33;156.704;Macho;BoA;pedani
Charaxinae;Anaeini;Memphis;Memphis_xenocles;2.59;1.86;1.98;1.77;0.74;0.37;0.82;0.17;1.56;4.817;2.7849;1.308;66.216;Sexo não identificado;BoA;marginalis
